date,ticker,price
2014-03-12,DUK,70.36
2014-03-12,COP,66.54
2014-03-12,WBA,66.93
2014-03-12,BLK,308.88
2014-03-12,AGN,212.38
2014-03-12,DHR,75.82
2014-03-12,GM,34.86
2014-03-12,GD,109.38
2014-03-12,AIG,49.93
2014-03-12,MET,52.69
2014-03-12,FDX,137.79
2014-03-12,BK,33.3
2014-03-12,RTN,99.74
2014-03-12,SO,42.63
2014-03-12,MON,112.61
2014-03-12,OXY,96.39
2014-03-12,SPG,162.27
2014-03-12,F,15.4
2014-03-12,COF,74.19
2014-03-12,EXC,30.18
2014-03-12,EMR,64.0
2014-03-12,HAL,55.39
2014-03-12,ALL,55.49
2014-03-12,KMI,31.29
2014-03-12,TGT,61.1
2014-03-12,FOXA,32.69
2014-03-12,FOX,32.06
2014-03-13,AAPL,530.65
2014-03-13,MSFT,37.89
2014-03-13,AMZN,371.51
2014-03-13,FB,68.83
2014-03-13,JNJ,93.0
2014-03-13,BRK_B,123.61
2014-03-13,XOM,93.64
2014-03-13,JPM,57.42
2014-03-13,GOOGL,1189.06
2014-03-13,BAC,17.16
2014-03-13,WFC,47.84
2014-03-13,PG,79.19
2014-03-13,CVX,114.45
2014-03-13,INTC,24.57
2014-03-13,PFE,31.12
2014-03-13,T,32.35
2014-03-13,V,220.78
2014-03-13,UNH,77.01
2014-03-13,HD,78.8
2014-03-13,C,47.33
2014-03-13,KO,37.97
2014-03-13,VZ,46.03
2014-03-13,CMCSA,50.46
2014-03-13,CSCO,21.52
2014-03-13,PEP,81.8
2014-03-13,PM,79.23
2014-03-13,DIS,79.93
2014-03-13,GE,25.34
2014-03-13,ABBV,51.32
2014-03-13,MRK,55.79
2014-03-13,ORCL,37.65
2014-03-13,BA,121.89
2014-03-13,MA,76.62
2014-03-13,MMM,130.81
2014-03-13,MCD,97.37
2014-03-13,WMT,74.93
2014-03-13,IBM,183.9
2014-03-13,MO,35.97
2014-03-13,AMGN,123.96
2014-03-13,HON,92.85
2014-03-13,MDT,59.03
2014-03-13,BMY,54.18
2014-03-13,QCOM,75.63
2014-03-13,TXN,44.99
2014-03-13,ABT,39.23
2014-03-13,UNP,185.86
2014-03-13,GILD,78.01
2014-03-13,ACN,82.09
2014-03-13,UTX,112.89
2014-03-13,SLB,90.27
2014-03-13,GS,166.7
2014-03-13,PCLN,1299.73
2014-03-13,USB,41.7
2014-03-13,SBUX,74.43
2014-03-13,CAT,95.61
2014-03-13,LLY,58.34
2014-03-13,LMT,162.83
2014-03-13,UPS,97.1
2014-03-13,CELG,156.0
2014-03-13,COST,114.41
2014-03-13,NEE,93.78
2014-03-13,NKE,78.53
2014-03-13,CVS,72.5
2014-03-13,AXP,90.69
2014-03-13,MS,31.44
2014-03-13,TWX,66.69
2014-03-13,CHTR,125.72
2014-03-13,LOW,48.71
2014-03-13,BIIB,332.05
2014-03-13,CL,63.23
2014-03-13,MDLZ,34.53
2014-03-13,DUK,70.57
2014-03-13,COP,66.32
2014-03-13,WBA,66.93
2014-03-13,BLK,299.25
2014-03-13,AGN,210.9
2014-03-13,DHR,74.43
2014-03-13,GM,34.09
2014-03-13,GD,107.99
2014-03-13,AIG,48.74
2014-03-13,MET,51.74
2014-03-13,FDX,136.68
2014-03-13,BK,33.17
2014-03-13,RTN,98.83
2014-03-13,SO,43.16
2014-03-13,MON,111.95
2014-03-13,OXY,95.81
2014-03-13,SPG,161.74
2014-03-13,F,15.18
2014-03-13,COF,72.73
2014-03-13,EXC,30.51
2014-03-13,EMR,63.02
2014-03-13,HAL,55.25
2014-03-13,ALL,55.11
2014-03-13,KMI,30.96
2014-03-13,TGT,59.73
2014-03-13,FOXA,32.11
2014-03-13,FOX,31.45
2014-03-14,AAPL,524.69
2014-03-14,MSFT,37.7
2014-03-14,AMZN,373.74
2014-03-14,FB,67.72
2014-03-14,JNJ,92.81
2014-03-14,BRK_B,122.51
2014-03-14,XOM,93.47
2014-03-14,JPM,56.8
2014-03-14,GOOGL,1172.8
2014-03-14,BAC,16.8
2014-03-14,WFC,47.4
2014-03-14,PG,78.98
2014-03-14,CVX,114.1
2014-03-14,INTC,24.5
2014-03-14,PFE,31.23
2014-03-14,T,32.49
2014-03-14,V,220.77
2014-03-14,UNH,75.7
2014-03-14,HD,79.38
2014-03-14,C,46.88
2014-03-14,KO,38.17
2014-03-14,VZ,46.08
2014-03-14,CMCSA,50.64
2014-03-14,CSCO,21.3499
2014-03-14,PEP,81.0
2014-03-14,PM,79.89
2014-03-14,DIS,80.07
2014-03-14,GE,25.11
2014-03-14,ABBV,51.21
2014-03-14,MRK,55.7
2014-03-14,ORCL,37.6
2014-03-14,BA,123.11
2014-03-14,MA,76.34
2014-03-14,MMM,129.83
2014-03-14,MCD,97.58
2014-03-14,WMT,74.28
2014-03-14,IBM,182.21
2014-03-14,MO,36.34
2014-03-14,AMGN,122.54
2014-03-14,HON,92.01
2014-03-14,MDT,58.86
2014-03-14,BMY,54.0
2014-03-14,QCOM,74.74
2014-03-14,TXN,44.31
2014-03-14,ABT,38.97
2014-03-14,UNP,185.14
2014-03-14,GILD,75.05
2014-03-14,ACN,81.38
2014-03-14,UTX,112.6
2014-03-14,SLB,89.09
2014-03-14,GS,165.35
2014-03-14,PCLN,1267.93
2014-03-14,USB,41.54
2014-03-14,SBUX,74.27
2014-03-14,CAT,95.39
2014-03-14,LLY,58.87
2014-03-14,LMT,162.42
2014-03-14,UPS,96.27
2014-03-14,CELG,149.41
2014-03-14,COST,113.45
2014-03-14,NEE,94.26
2014-03-14,NKE,78.32
2014-03-14,CVS,72.75
2014-03-14,AXP,90.17
2014-03-14,MS,31.1
2014-03-14,TWX,66.58
2014-03-14,CHTR,127.0
2014-03-14,LOW,49.09
2014-03-14,BIIB,332.49
2014-03-14,CL,63.83
2014-03-14,MDLZ,34.25
2014-03-14,DUK,70.7
2014-03-14,COP,66.6
2014-03-14,WBA,67.07
2014-03-14,BLK,295.71
2014-03-14,AGN,214.52
2014-03-14,DHR,73.79
2014-03-14,GM,34.09
2014-03-14,GD,107.63
2014-03-14,AIG,48.59
2014-03-14,MET,51.71
2014-03-14,FDX,136.76
2014-03-14,BK,33.13
2014-03-14,RTN,100.09
2014-03-14,SO,43.49
2014-03-14,MON,113.21
2014-03-14,OXY,96.52
2014-03-14,SPG,161.07
2014-03-14,F,15.08
2014-03-14,COF,72.19
2014-03-14,EXC,30.64
2014-03-14,EMR,62.56
2014-03-14,HAL,55.19
2014-03-14,ALL,55.13
2014-03-14,KMI,31.7
2014-03-14,TGT,59.36
2014-03-14,FOXA,32.29
2014-03-14,FOX,31.64
2014-03-17,AAPL,526.74
2014-03-17,MSFT,38.05
2014-03-17,AMZN,375.04
2014-03-17,FB,68.7399
2014-03-17,JNJ,93.93
2014-03-17,BRK_B,123.36
2014-03-17,XOM,94.32
2014-03-17,JPM,57.58
2014-03-17,GOOGL,1192.1
2014-03-17,BAC,17.11
2014-03-17,WFC,48.13
2014-03-17,PG,79.84
2014-03-17,CVX,115.07
2014-03-17,INTC,24.7
2014-03-17,PFE,31.42
2014-03-17,T,32.89
2014-03-17,V,223.78
2014-03-17,UNH,76.76
2014-03-17,HD,79.58
2014-03-17,C,47.73
2014-03-17,KO,38.27
2014-03-17,VZ,46.31
2014-03-17,CMCSA,50.78
2014-03-17,CSCO,21.51
2014-03-17,PEP,82.05
2014-03-17,PM,80.28
2014-03-17,DIS,81.39
2014-03-17,GE,25.43
2014-03-17,ABBV,51.98
2014-03-17,MRK,56.26
2014-03-17,ORCL,38.22
2014-03-17,BA,125.42
2014-03-17,MA,77.83
2014-03-17,MMM,132.27
2014-03-17,MCD,97.6
2014-03-17,WMT,74.68
2014-03-17,IBM,185.81
2014-03-17,MO,36.38
2014-03-17,AMGN,123.86
2014-03-17,HON,93.4
2014-03-17,MDT,59.22
2014-03-17,BMY,54.72
2014-03-17,QCOM,77.02
2014-03-17,TXN,45.27
2014-03-17,ABT,39.51
2014-03-17,UNP,187.37
2014-03-17,GILD,75.45
2014-03-17,ACN,83.39
2014-03-17,UTX,114.41
2014-03-17,SLB,89.78
2014-03-17,GS,166.84
2014-03-17,PCLN,1287.96
2014-03-17,USB,41.96
2014-03-17,SBUX,74.18
2014-03-17,CAT,95.67
2014-03-17,LLY,58.87
2014-03-17,LMT,164.07
2014-03-17,UPS,96.99
2014-03-17,CELG,150.23
2014-03-17,COST,113.46
2014-03-17,NEE,94.81
2014-03-17,NKE,78.98
2014-03-17,CVS,74.36
2014-03-17,AXP,91.26
2014-03-17,MS,31.37
2014-03-17,TWX,66.67
2014-03-17,CHTR,126.49
2014-03-17,LOW,49.48
2014-03-17,BIIB,345.6
2014-03-17,CL,64.4
2014-03-17,MDLZ,34.25
2014-03-17,DUK,71.1
2014-03-17,COP,67.29
2014-03-17,WBA,67.34
2014-03-17,BLK,298.71
2014-03-17,AGN,214.2
2014-03-17,DHR,74.85
2014-03-17,GM,34.63
2014-03-17,GD,108.41
2014-03-17,AIG,48.92
2014-03-17,MET,51.83
2014-03-17,FDX,137.58
2014-03-17,BK,33.37
